syllables:	1973
MTSOR	མཚོར
MTSOS	མཚོས
MTSUNGS	མཚུངས
MU	མུ
MUG	མུག
MUN	མུན
MUR	མུར
MYA	མྱ
MYAGS	མྱགས
MYANG	མྱང
MYANGS	མྱངས
MYONG	མྱོང
MYOS	མྱོས
MYU	མྱུ
MYUG	མྱུག
MYUR	མྱུར
N'A	ནཱ
NA	ན
NA'ANG	ནའང
NA'I	ནའི
NA'O	ནའོ
NAD	ནད
NAG	ནག
NAGS	ནགས
NAM	ནམ
NAMS	ནམས
NAN	ནན
NANG	ནང
NAR	ནར
NAS	ནས
NE	ནེ
NGA	ང
NGA'AM	ངའམ
NGA'I	ངའི
NGA'O	ངའོ
NGAG	ངག
NGAL	ངལ
NGAM	ངམ
NGAN	ངན
NGANG	ངང
NGAR	ངར
NGAS	ངས
NGE	ངེ
NGED	ངེད
NGES	ངེས
NGO	ངོ
NGOGS	ངོགས
NGOMS	ངོམས
NGOR	ངོར
NGOS	ངོས
NGU	ངུ
NGU'I	ངུའི
NGUR	ངུར
NI	ནི
NO	ནོ
NOD	ནོད
NOM	ནོམ
NON	ནོན
NONGS	ནོངས
NOR	ནོར
NU	ནུ
NUB	ནུབ
NUR	ནུར
NUS	ནུས
NYA	ཉ
NYAG	ཉག
NYAL	ཉལ
NYAM	ཉམ
NYAMS	ཉམས
NYAN	ཉན
NYE	ཉེ
NYEN	ཉེན
NYER	ཉེར
NYES	ཉེས
NYI	ཉི
NYI'I	ཉིའི
NYID	ཉིད
NYIN	ཉིན
NYING	ཉིང
NYIS	ཉིས
NYON	ཉོན
NYUNG	ཉུང
P'A	པཱ
PA	པ
PA'AM	པའམ
PA'ANG	པའང
PA'I	པའི
PA'O	པའོ
PAD	པད
PADMA	པདྨ
PADMA'I	པདྨའི
PADMO	པདྨོ
PAGS	པགས
PANDI	པནྡི
PAR	པར
PAS	པས
PHA	ཕ
PHAB	ཕབ
PHABS	ཕབས
PHAG	ཕག
PHAL	ཕལ
PHAM	ཕམ
PHAN	ཕན
PHANGS	ཕངས
PHAR	ཕར
PHAS	ཕས
PHEBS	ཕེབས
PHO	ཕོ
PHONGS	ཕོངས
PHOR	ཕོར
PHRA	ཕྲ
PHRAD	ཕྲད
PHRAG	ཕྲག
PHRAN	ཕྲན
PHRENG	ཕྲེང
PHRIN	ཕྲིན
PHROGS	ཕྲོགས
PHRUG	ཕྲུག
PHUG	ཕུག
PHUGS	ཕུགས
PHUL	ཕུལ
PHUN	ཕུན
PHUNG	ཕུང
PHYAG	ཕྱག
PHYANG	ཕྱང
PHYE	ཕྱེ
PHYED	ཕྱེད
PHYI	ཕྱི
PHYI'I	ཕྱིའི
PHYIN	ཕྱིན
PHYIR	ཕྱིར
PHYIS	ཕྱིས
PHYOGS	ཕྱོགས
PHYUG	ཕྱུག
PHYUNG	ཕྱུང
PHYUNGS	ཕྱུངས
PING	པིང
PO	པོ
PO'AM	པོའམ
PO'ANG	པོའང
PO'I	པོའི
PO'O	པོའོ
POR	པོར
POS	པོས
PRA	པྲ
PRADZNY'A	པྲཛྙཱ
PU	པུ
PUR	པུར
PUS	པུས
RA	ར
RAB	རབ
RABS	རབས
RAG	རག
RAGS	རགས
RAL	རལ
RAM	རམ
RANG	རང
RAS	རས
RBA	རྦ
RDE	རྡེ
RDE'U	རྡེའུ
RDO	རྡོ
RDOG	རྡོག
RDUL	རྡུལ
RDZA	རྫ
RDZAS	རྫས
RDZI	རྫི
RDZING	རྫིང
RDZOB	རྫོབ
RDZOGS	རྫོགས
RDZU	རྫུ
RDZUL	རྫུལ
RDZUN	རྫུན
RDZUS	རྫུས
RE	རེ
RE'ANG	རེའང
RE'I	རེའི
RED	རེད
REG	རེག
RER	རེར
RES	རེས
RGA	རྒ
RGA'O	རྒའོ
RGAL	རྒལ
RGAN	རྒན
RGAS	རྒས
RGOD	རྒོད
RGOL	རྒོལ
RGU'I	རྒུའི
RGUD	རྒུད
RGYA	རྒྱ
RGYA'I	རྒྱའི
RGYA'O	རྒྱའོ
RGYAB	རྒྱབ
RGYAGS	རྒྱགས
RGYAL	རྒྱལ
RGYAN	རྒྱན
RGYANG	རྒྱང
RGYANGS	རྒྱངས
RGYAS	རྒྱས
RGYU	རྒྱུ
RGYU'I	རྒྱུའི
RGYUD	རྒྱུད
RGYUG	རྒྱུག
RGYUN	རྒྱུན
RGYUR	རྒྱུར
RGYUS	རྒྱུས
RI	རི
RI'I	རིའི
RIB	རིབ
RIG	རིག
RIGS	རིགས
RIL	རིལ
RIM	རིམ
RIMS	རིམས
RIN	རིན
RING	རིང
RIS	རིས
RJE	རྗེ
RJE'ANG	རྗེའང
RJE'I	རྗེའི
RJER	རྗེར
RJES	རྗེས
RJOD	རྗོད
RKANG	རྐང
RKUB	རྐུབ
RKUN	རྐུན
RKYA	རྐྱ
RKYANG	རྐྱང
RKYEN	རྐྱེན
RLABS	རླབས
RLAN	རླན
RLOB	རློབ
RLOM	རློམ
RLUNG	རླུང
RMA	རྨ
RMAD	རྨད
RMAS	རྨས
RMI	རྨི
RMIG	རྨིག
RMIS	རྨིས
RMONGS	རྨོངས
RMOS	རྨོས
RMUGS	རྨུགས
RNA	རྣ
RNAG	རྣག
RNAL	རྣལ
RNAM	རྣམ
RNAMS	རྣམས
RNAR	རྣར
RNGA	རྔ
RNGAS	རྔས
RNO	རྣོ
RNON	རྣོན
RNYED	རྙེད
RNYING	རྙིང
RNYOG	རྙོག
RNYONGS	རྙོངས
RO	རོ
ROG	རོག
ROL	རོལ
ROR	རོར
RTA	རྟ
RTA'I	རྟའི
RTAG	རྟག
RTAGS	རྟགས
RTAR	རྟར
RTEN	རྟེན
RTING	རྟིང
RTOG	རྟོག
RTOGS	རྟོགས
RTON	རྟོན
RTUL	རྟུལ
RTZA	རྩ
RTZA'I	རྩའི
RTZAD	རྩད
RTZAL	རྩལ
RTZAM	རྩམ
RTZE	རྩེ
RTZE'I	རྩེའི
RTZED	རྩེད
RTZER	རྩེར
RTZI	རྩི
RTZI'I	རྩིའི
RTZIG	རྩིག
RTZINGS	རྩིངས
RTZIR	རྩིར
RTZIS	རྩིས
RTZOD	རྩོད
RTZOL	རྩོལ
RTZOM	རྩོམ
RTZOMS	རྩོམས
RTZUB	རྩུབ
RTZVA	རྩྭ
RTZVA'I	རྩྭའི
RU	རུ
RU'I	རུའི
RUL	རུལ
RUNG	རུང
RUS	རུས
RVA	རྭ
RVA'I	རྭའི
S'A	སཱ
S'U	སཱུ
SA	ས
SA'I	སའི
SAD	སད
SAL	སལ
SAM	སམ
SANG	སང
SANGS	སངས
SAR	སར
SARBA	སརྦ
SAS	སས
SBA	སྦ
SBAGS	སྦགས
SBAL	སྦལ
SBAS	སྦས
SBRANG	སྦྲང
SBRUL	སྦྲུལ
SBUBS	སྦུབས
SBUN	སྦུན
SBYANG	སྦྱང
SBYANGS	སྦྱངས
SBYAR	སྦྱར
SBYIN	སྦྱིན
SBYONG	སྦྱོང
SBYOR	སྦྱོར
SDANG	སྡང
SDE	སྡེ
SDE'I	སྡེའི
SDES	སྡེས
SDIG	སྡིག
SDOD	སྡོད
SDOM	སྡོམ
SDONG	སྡོང
SDUD	སྡུད
SDUG	སྡུག
SE'U	སེའུ
SEL	སེལ
SEMS	སེམས
SEN	སེན
SENG	སེང
SENGGE	སེངྒེ
SENGGE'I	སེངྒེའི
SER	སེར
SGER	སྒེར
SGO	སྒོ
SGOM	སྒོམ
SGOR	སྒོར
SGRA	སྒྲ
SGRA'I	སྒྲའི
SGRAS	སྒྲས
SGRIB	སྒྲིབ
SGRIBS	སྒྲིབས
SGRIG	སྒྲིག
SGRO	སྒྲོ
SGROG	སྒྲོག
SGROGS	སྒྲོགས
SGROL	སྒྲོལ
SGRON	སྒྲོན
SGRUB	སྒྲུབ
SGYU	སྒྱུ
SGYUR	སྒྱུར
SH'A	ཤཱ
SH'AKYA	ཤཱཀྱ
SH'AKYA'I	ཤཱཀྱའི
SH'ASTRA	ཤཱསྟྲ
SH'I	ཤཱི
SHA	ཤ
SHAD	ཤད
SHAL	ཤལ
SHANGS	ཤངས
SHAR	ཤར
SHAS	ཤས
SHE	ཤེ
SHE'I	ཤེའི
SHEL	ཤེལ
SHER	ཤེར
SHES	ཤེས
SHI	ཤི
SHI'I	ཤིའི
SHIG	ཤིག
SHIN	ཤིན
SHING	ཤིང
SHIS	ཤིས
SHLOO	ཤླཽ
SHO	ཤོ
SHOD	ཤོད
SHOG	ཤོག
SHOR	ཤོར
SHOS	ཤོས
SHR'I	ཤྲཱི
SHU	ཤུ
SHU'I	ཤུའི
SHU'O	ཤུའོ
SHUGS	ཤུགས
SHUL	ཤུལ
SHUN	ཤུན
SHUR	ཤུར
SIL	སིལ
SIM	སིམ
SKABS	སྐབས
SKAD	སྐད
SKAL	སྐལ
SKAM	སྐམ
SKAMS	སྐམས
SKAN	སྐན
SKAR	སྐར
SKOM	སྐོམ
SKONG	སྐོང
SKOR	སྐོར
SKRA	སྐྲ
SKRAG	སྐྲག
SKU	སྐུ
SKU'I	སྐུའི
SKUD	སྐུད
SKUL	སྐུལ
SKUM	སྐུམ
SKUR	སྐུར
SKUS	སྐུས
SKYABS	སྐྱབས
SKYE	སྐྱེ
SKYE'AM	སྐྱེའམ
SKYE'I	སྐྱེའི
SKYE'O	སྐྱེའོ
SKYED	སྐྱེད
SKYEL	སྐྱེལ
SKYES	སྐྱེས
SKYID	སྐྱིད
SKYIL	སྐྱིལ
SKYO	སྐྱོ
SKYOB	སྐྱོབ
SKYON	སྐྱོན
SKYONG	སྐྱོང
SKYONGS	སྐྱོངས
SKYOR	སྐྱོར
SKYU	སྐྱུ
SKYUGS	སྐྱུགས
SKYUNGS	སྐྱུངས
SKYUR	སྐྱུར
SLA	སླ
SLA'I	སླའི
SLA'O	སླའོ
SLAD	སླད
SLAR	སླར
SLEB	སླེབ
SLEBS	སླེབས
SLOB	སློབ
SLONG	སློང
SLU	སླུ
SMAD	སྨད
SMAN	སྨན
SME	སྨེ
SMIG	སྨིག
SMIN	སྨིན
SMOD	སྨོད
SMON	སྨོན
SMOS	སྨོས
SMRA	སྨྲ
SMRA'I	སྨྲའི
SMRA'O	སྨྲའོ
SMRAS	སྨྲས
SMRE	སྨྲེ
SMRIG	སྨྲིག
SMROS	སྨྲོས
SMYON	སྨྱོན
SMYUG	སྨྱུག
SNA	སྣ
SNA'I	སྣའི
SNAM	སྣམ
SNANG	སྣང
SNGA	སྔ
SNGAGS	སྔགས
SNGAR	སྔར
SNGO	སྔོ
SNGON	སྔོན
SNGOR	སྔོར
SNOD	སྣོད
SNOM	སྣོམ
SNUM	སྣུམ
SNYAD	སྙད
SNYAM	སྙམ
SNYAN	སྙན
SNYED	སྙེད
SNYEG	སྙེག
SNYIGS	སྙིགས
SNYING	སྙིང
SNYOM	སྙོམ
SNYOMS	སྙོམས
SO	སོ
SO'I	སོའི
SOG	སོག
SOGS	སོགས
SOM	སོམ
SON	སོན
SONG	སོང
SOR	སོར
SOS	སོས
SPANG	སྤང
SPANGS	སྤངས
SPEL	སྤེལ
SPO	སྤོ
SPOBS	སྤོབས
SPOM	སྤོམ
SPONG	སྤོང
SPONGS	སྤོངས
SPRAS	སྤྲས
SPRE'U	སྤྲེའུ
SPRIN	སྤྲིན
SPRING	སྤྲིང
SPRO	སྤྲོ
SPROS	སྤྲོས
SPRUL	སྤྲུལ
SPU	སྤུ
SPU'I	སྤུའི
SPUBS	སྤུབས
SPUN	སྤུན
SPUNGS	སྤུངས
SPUS	སྤུས
SPYAD	སྤྱད
SPYAN	སྤྱན
SPYI	སྤྱི
SPYI'I	སྤྱིའི
SPYIR	སྤྱིར
SPYOD	སྤྱོད
SRA	སྲ
SRAB	སྲབ
SRANG	སྲང
SRAS	སྲས
SRED	སྲེད
SREG	སྲེག
SREGS	སྲེགས
SRID	སྲིད
SRIN	སྲིན
SRING	སྲིང
SROG	སྲོག
SROL	སྲོལ
SRONG	སྲོང
SRUNG	སྲུང
SRUNGS	སྲུངས
STABS	སྟབས
STAN	སྟན
STANGS	སྟངས
STAR	སྟར
STE	སྟེ
STEGS	སྟེགས
STEN	སྟེན
STENG	སྟེང
STER	སྟེར
STHI	སྠི
STI	སྟི
STOBS	སྟོབས
STOD	སྟོད
STON	སྟོན
STONG	སྟོང
STOS	སྟོས
STRA	སྟྲ
STUG	སྟུག
STZAL	སྩལ
STZOL	སྩོལ
SU	སུ
SU'ANG	སུའང
SU'I	སུའི
SUL	སུལ
SUM	སུམ
SUN	སུན
SUS	སུས
SVA	སྭ
T'A	ཏཱ
T'IK	ཏཱིཀ
T'IKKA	ཏཱིཀྐ
TA	ཏ
TAM	ཏམ
TAN	ཏན
TANTRA	ཏནྟྲ
TE	ཏེ
THA	ཐ
THABS	ཐབས
THAD	ཐད
THAG	ཐག
THAGS	ཐགས
THAL	ཐལ
THAM	ཐམ
THAMS	ཐམས
THANG	ཐང
THAR	ཐར
THE	ཐེ
THEBS	ཐེབས
THEG	ཐེག
THER	ཐེར
THIBS	ཐིབས
THIG	ཐིག
THIGS	ཐིགས
THO	ཐོ
THOB	ཐོབ
THOD	ཐོད
THOG	ཐོག
THOGS	ཐོགས
THON	ཐོན
THOS	ཐོས
THU	ཐུ
THUB	ཐུབ
THUG	ཐུག
THUGS	ཐུགས
THUL	ཐུལ
THUN	ཐུན
THUNG	ཐུང
THUR	ཐུར
TI	ཏི
TIK	ཏིཀ
TIL	ཏིལ
TING	ཏིང
TO	ཏོ
TOG	ཏོག
TOR	ཏོར
TRA	ཏྲ
TSA	ཚ
TSAB	ཚབ
TSAD	ཚད
TSAL	ཚལ
TSAN	ཚན
TSANG	ཚང
TSANGS	ཚངས
TSAR	ཚར
TSE	ཚེ
TSE'I	ཚེའི
TSED	ཚེད
TSEGS	ཚེགས
TSEMS	ཚེམས
TSES	ཚེས
TSIG	ཚིག
TSIGS	ཚིགས
TSIM	ཚིམ
TSO	ཚོ
TSO'I	ཚོའི
TSOD	ཚོད
TSOGS	ཚོགས
TSOL	ཚོལ
TSOM	ཚོམ
TSON	ཚོན
TSONG	ཚོང
TSOR	ཚོར
TSU	ཚུ
TSUGS	ཚུགས
TSUL	ཚུལ
TSUN	ཚུན
TSUR	ཚུར
TSVA	ཚྭ
TU	ཏུ
TU'O	ཏུའོ
TZ'A	ཙཱ
TZAM	ཙམ
TZAN	ཙན
TZANDRA	ཙནྡྲ
TZONG	ཙོང
TZTSA	ཙྪ
WA	ཝ
WARMA	ཝརྨ
Y'A	ཡཱ
YA	ཡ
YA'I	ཡའི
YAB	ཡབ
YAL	ཡལ
YAMS	ཡམས
YAN	ཡན
YANG	ཡང
YANGS	ཡངས
YAR	ཡར
YAS	ཡས
YE	ཡེ
YI	ཡི
YI'ANG	ཡིའང
YID	ཡིད
YIG	ཡིག
YIN	ཡིན
YIR	ཡིར
YIS	ཡིས
YO	ཡོ
YOD	ཡོད
YON	ཡོན
YONGS	ཡོངས
YOR	ཡོར
YUD	ཡུད
YUL	ཡུལ
YUM	ཡུམ
YUN	ཡུན
ZA	ཟ
ZA'I	ཟའི
ZAB	ཟབ
ZAD	ཟད
ZAG	ཟག
ZANG	ཟང
ZANGS	ཟངས
ZAR	ཟར
ZAS	ཟས
ZE	ཟེ
ZE'I	ཟེའི
ZE'U	ཟེའུ
ZER	ཟེར
ZHABS	ཞབས
ZHAGS	ཞགས
ZHAL	ཞལ
ZHAN	ཞན
ZHAR	ཞར
ZHE	ཞེ
ZHE'AM	ཞེའམ
ZHE'O	ཞེའོ
ZHEN	ཞེན
ZHENG	ཞེང
ZHES	ཞེས
ZHI	ཞི
ZHI'I	ཞིའི
ZHIB	ཞིབ
ZHIG	ཞིག
ZHIM	ཞིམ
ZHING	ཞིང
ZHIR	ཞིར
ZHIS	ཞིས
ZHO	ཞོ
ZHOG	ཞོག
ZHON	ཞོན
ZHOR	ཞོར
ZHU	ཞུ
ZHUGS	ཞུགས
ZHUM	ཞུམ
ZHUN	ཞུན
ZHUS	ཞུས
ZHVA	ཞྭ
ZIL	ཟིལ
ZIN	ཟིན
ZING	ཟིང
ZLA	ཟླ
ZLOG	ཟློག
ZLOS	ཟློས
ZLUM	ཟླུམ
ZO	ཟོ
ZOS	ཟོས
ZUG	ཟུག
ZUM	ཟུམ
ZUNG	ཟུང
ZUNGS	ཟུངས
ZUR	ཟུ
dA	ཌ
dhA	ཌྷ
shA	ཥ
tA	ཊ
thA	ཋ
