syllables:	1973
BGYIS	བགྱིས
BH'A	བྷཱ
BHI	བྷི
BHY'A	བྷྱཱ
BIMPA	བིམྤ
BKA'	བཀའ
BKAB	བཀབ
BKAG	བཀག
BKANG	བཀང
BKAR	བཀར
BKAS	བཀས
BKOD	བཀོད
BKON	བཀོན
BKRA	བཀྲ
BKRA'I	བཀྲའི
BKRAL	བཀྲལ
BKREN	བཀྲེན
BKRES	བཀྲེས
BKRI	བཀྲི
BKRIS	བཀྲིས
BKROL	བཀྲོལ
BKRUS	བཀྲུས
BKUR	བཀུར
BLA	བླ
BLAG	བླག
BLANG	བླང
BLANGS	བླངས
BLO	བློ
BLO'AM	བློའམ
BLO'I	བློའི
BLON	བློན
BLOR	བློར
BLOS	བློས
BLTA	བལྟ
BLTA'O	བལྟའོ
BLTAM	བལྟམ
BLTAMS	བལྟམས
BLTAR	བལྟར
BLTAS	བལྟས
BLTOS	བལྟོས
BLUGS	བླུགས
BLUN	བླུན
BO	བོ
BO'AM	བོའམ
BO'ANG	བོའང
BO'I	བོའི
BO'O	བོའོ
BOD	བོད
BON	བོན
BONG	བོང
BOR	བོར
BOS	བོས
BRA	བྲ
BRAG	བྲག
BRAL	བྲལ
BRAM	བྲམ
BRAN	བྲན
BRDA	བརྡ
BRDA'	བརྡའ
BRDA'I	བརྡའི
BRDAS	བརྡས
BRDEG	བརྡེག
BRDEGS	བརྡེགས
BRDOL	བརྡོལ
BRDOS	བརྡོས
BRDZI	བརྫི
BRDZUN	བརྫུན
BRDZUS	བརྫུས
BREGS	བྲེགས
BRGAL	བརྒལ
BRGYA	བརྒྱ
BRGYAD	བརྒྱད
BRGYAL	བརྒྱལ
BRGYAN	བརྒྱན
BRGYAR	བརྒྱར
BRGYAS	བརྒྱས
BRGYUD	བརྒྱུད
BRI	བྲི
BRIS	བྲིས
BRJE	བརྗེ
BRJED	བརྗེད
BRJID	བརྗིད
BRJOD	བརྗོད
BRKAM	བརྐམ
BRKUS	བརྐུས
BRKYAL	བརྐྱལ
BRLABS	བརླབས
BRLAG	བརླག
BRLAN	བརླན
BRLING	བརླིང
BRLOBS	བརློབས
BRLOM	བརློམ
BRNAB	བརྣབ
BRNYAN	བརྙན
BRNYAS	བརྙས
BRNYES	བརྙེས
BRO	བྲོ
BRTAG	བརྟག
BRTAGS	བརྟགས
BRTAN	བརྟན
BRTEN	བརྟེན
BRTUL	བརྟུལ
BRTZAD	བརྩད
BRTZAL	བརྩལ
BRTZAM	བརྩམ
BRTZAMS	བརྩམས
BRTZE	བརྩེ
BRTZE'I	བརྩེའི
